NACA 4 digit Error DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   0.00604   0.01783   0.10895   0.00120   0.00340   0.00001   0.00030   0.00070
   0.00000   0.13109   0.02565   0.00020   0.00030   0.00000   0.00000   0.00000
   0.01912   0.00087   0.02113   0.00020   0.00000   0.00000   0.00010   0.00010
   0.00000   0.03008   0.00756   0.00060   0.00060   0.00000   0.00020   0.00010
   0.00016   0.00180   0.08959   0.00040   0.00000   0.00008   0.00000   0.00010
   0.00109   0.02795   0.03580   0.00120   0.00150   0.00000   0.00040   0.00030
   0.00948   0.01863   0.02802   0.00010   0.00010   0.00000   0.00050   0.00010
   0.00000   0.02241   0.04439   0.00060   0.00050   0.00001   0.00010   0.00010
   0.00454   0.02534   0.01992   0.00160   0.00000   0.00001   0.00030   0.00010
   0.00000   2.75373   0.01698   0.00010   0.00020   0.00001   0.00000   0.00000
   0.00622   0.01153   0.15405   0.00120   0.00050   0.00008   0.00030   0.00010
   0.01291   0.00524   0.00979   0.00110   0.00050   0.00001   0.00020   0.00010
   0.06734   0.04483   0.67537   0.03360   0.04710   0.00062   0.00640   0.01070
   0.00190   0.00998   0.02192   0.00030   0.00030   0.00000   0.00000   0.00010
   0.00000   0.52358   0.00667   0.00000   0.00010   0.00000   0.00000   0.00000
   0.00361   0.01351   0.02230   0.00040   0.00030   0.00003   0.00010   0.00000
   0.00000   0.12142   0.09011   0.00010   0.00050   0.00001   0.00000   0.00010
   0.15320   0.08349   0.79316   0.00520   0.00100   0.00002   0.00080   0.00030
   0.00016   0.00176   0.08008   0.00120   0.00010   0.00001   0.00020   0.00010
   0.00513   0.00954   0.00404   0.00140   0.00110   0.00005   0.00050   0.00040
   0.00153   0.00733   0.00560   0.00060   0.00010   0.00001   0.00010   0.00000
   0.00316   0.04760   0.02460   0.00010   0.00060   0.00001   0.00010   0.00030
   0.01894   0.02275   0.07565   0.00200   0.00020   0.00003   0.00040   0.00010
   0.01182   0.01809   0.04212   0.00070   0.00010   0.00003   0.00020   0.00000
   0.00179   0.01274   0.00948   0.00100   0.00000   0.00002   0.00050   0.00000
   0.00733   0.01417   0.02227   0.00020   0.00030   0.00000   0.00000   0.00010
   0.01337   0.00653   0.07976   0.00050   0.00020   0.00001   0.00000   0.00010
   0.00406   0.02285   0.03161   0.00130   0.00040   0.00001   0.00000   0.00010
   0.01075   0.33645   0.14925   0.00100   0.00380   0.00040   0.00130   0.00030
   0.01943   0.00938   0.07158   0.00220   0.00040   0.00005   0.00020   0.00000
   0.00002   0.02573   0.01720   0.00030   0.00000   0.00001   0.00010   0.00010
   0.01034   0.00160   0.07635   0.00090   0.00030   0.00001   0.00020   0.00000
   0.01325   0.00944   0.06126   0.00020   0.00030   0.00003   0.00010   0.00000
   0.00958   0.00961   0.01528   0.00090   0.00010   0.00002   0.00000   0.00010
   0.03216   0.00562   0.20803   0.00270   0.00400   0.00002   0.00070   0.00040
   0.01845   0.02176   0.04176   0.00230   0.00200   0.00001   0.00080   0.00050
   0.00195   0.01188   0.04431   0.00330   0.00150   0.00424   0.00130   0.00000
